status,card_present_flag,account,long_lat,txn_description,first_name,balance,date,gender,age,merchant_state,extraction,amount,transaction_id,customer_id,movement,month,dayofweek,hour,category
authorized,1.0,ACC-1598451071,153.41 -27.95,POS,Diana,35.39,2018-08-01,F,26,QLD,01:01:15,16.25,a623070bfead4541a6b0fff8a09e706c,CUS-2487424745,debit,8,2,1,Purchase
authorized,0.0,ACC-1598451071,153.41 -27.95,SALES-POS,Diana,21.2,2018-08-01,F,26,NSW,01:13:45,14.19,13270a2a902145da9db4c951e04b51b9,CUS-2487424745,debit,8,2,1,Purchase
authorized,1.0,ACC-1222300524,151.23 -33.94,POS,Michael,5.71,2018-08-01,M,38,NSW,01:26:15,6.42,feb79e7ecd7048a5a36ec889d1a94270,CUS-2142601169,debit,8,2,1,Purchase
authorized,1.0,ACC-1037050564,153.10 -27.66,SALES-POS,Rhonda,2117.22,2018-08-01,F,40,QLD,01:38:45,40.9,2698170da3704fd981b15e64a006079e,CUS-1614226872,debit,8,2,1,Purchase
authorized,1.0,ACC-1598451071,153.41 -27.95,SALES-POS,Diana,17.95,2018-08-01,F,26,QLD,01:51:15,3.25,329adf79878c4cf0aeb4188b4691c266,CUS-2487424745,debit,8,2,1,Purchase
posted,n/a,ACC-1608363396,151.22 -33.87,PAYMENT,Robert,1705.43,2018-08-01,M,20,n/a,02:00:00,163.0,1005b48a6eda4ffd85e9b649dc9467d3,CUS-2688605418,debit,8,2,2,Others
authorized,1.0,ACC-2776252858,144.95 -37.76,SALES-POS,Kristin,1248.36,2018-08-01,F,43,VIC,02:23:04,61.06,b79ca208099c4c28aa5dae966096d842,CUS-4123612273,debit,8,2,2,Purchase
authorized,1.0,ACC-2776252858,144.95 -37.76,POS,Kristin,1232.75,2018-08-01,F,43,VIC,04:11:25,15.61,e1c4a50d6a0549cbb3710a62a2fa00d5,CUS-4123612273,debit,8,2,4,Purchase
authorized,1.0,ACC-182446574,116.06 -32.00,POS,Tonya,213.16,2018-08-01,F,27,WA,04:40:00,19.25,799e39eb2c1b411185424b0f2cd18bda,CUS-3026014945,debit,8,2,4,Purchase
posted,n/a,ACC-602667573,151.23 -33.96,INTER BANK,Michael,466.58,2018-08-01,M,40,n/a,06:00:00,21.0,798a77869014441b840a7a8a23408332,CUS-2031327464,debit,8,2,6,Others
posted,n/a,ACC-2171593283,146.94 -36.04,PAYMENT,Fernando,4348.5,2018-08-01,M,19,n/a,06:00:00,27.0,baff17b27b2643c48c84fca7129e9611,CUS-2317998716,debit,8,2,6,Others
posted,n/a,ACC-2776252858,144.95 -37.76,PAYMENT,Kristin,1203.75,2018-08-01,F,43,n/a,06:00:00,29.0,78a1b6c3a5534d48828d8ed266ba9c2e,CUS-4123612273,debit,8,2,6,Others
authorized,1.0,ACC-182446574,116.06 -32.00,SALES-POS,Tonya,207.08,2018-08-01,F,27,WA,06:06:40,6.08,9ba4928260b24fbb8fb00f1f8d86b868,CUS-3026014945,debit,8,2,6,Purchase
posted,n/a,ACC-588564840,151.27 -33.76,INTER BANK,Isaiah,4438.16,2018-08-01,M,23,n/a,07:00:00,25.0,eaafa602902b4f4194efb96a105dd7ab,CUS-1462656821,debit,8,2,7,Others
posted,n/a,ACC-1496451953,145.16 -37.84,INTER BANK,Ricky,173.66,2018-08-01,M,43,n/a,07:00:00,39.0,243dcea5fb1846ffb89671edf45f157d,CUS-3142625864,debit,8,2,7,Others
authorized,1.0,ACC-1903037542,153.05 -27.61,POS,Jeffrey,2.85,2018-08-01,M,30,QLD,07:20:48,10.79,28347ba260d84f8d81ab70d9e901ea8e,CUS-860700529,debit,8,2,7,Purchase
posted,n/a,ACC-2014856841,144.99 -37.90,INTER BANK,Patrick,260514.83,2018-08-01,M,46,n/a,08:00:00,22.0,ae8124d2e33547bdb605d9a51581457f,CUS-2370108457,debit,8,2,8,Others
posted,n/a,ACC-4163822186,149.03 -34.97,PAYMENT,Karen,3117.94,2018-08-01,F,26,n/a,08:00:00,55.0,0b0bc166b6da49b1ac64d3bb9c4ef550,CUS-2630892467,debit,8,2,8,Others
posted,n/a,ACC-3954677887,115.72 -32.28,PAYMENT,Ruth,38.31,2018-08-01,F,47,n/a,08:00:00,58.0,c24ca89f7aba4ab4b8d3e9ac0c5f4fab,CUS-3716701010,debit,8,2,8,Others
authorized,1.0,ACC-4258502723,145.45 -37.74,POS,Kimberly,708.28,2018-08-01,F,24,VIC,08:00:11,7.37,2f77c3cbe847468bbf99f7f0cead69f9,CUS-3378712515,debit,8,2,8,Purchase
authorized,1.0,ACC-1598451071,153.41 -27.95,POS,Diana,3.85,2018-08-01,F,26,NSW,08:09:42,14.1,1c12c9ad77894ef8b507fb091e41e928,CUS-2487424745,debit,8,2,8,Purchase
authorized,0.0,ACC-2890243754,153.32 -27.93,POS,Joseph,275.93,2018-08-01,M,37,NSW,08:19:14,24.77,1f12467d33ce4609890fb64978ebbcbb,CUS-2695611575,debit,8,2,8,Purchase
authorized,1.0,ACC-3481401842,115.74 -31.72,SALES-POS,Tiffany,259.37,2018-08-01,F,25,WA,08:28:45,13.67,daae532bc1114fbd86fca277f349a397,CUS-1669695324,debit,8,2,8,Purchase
authorized,0.0,ACC-2615038700,145.35 -38.03,POS,Emily,30583.15,2018-08-01,F,43,VIC,08:47:48,12.08,49417bad354f4137971a954c26657e2d,CUS-3255104878,debit,8,2,8,Purchase
authorized,1.0,ACC-966140392,147.08 -37.97,POS,Joseph,793.64,2018-08-01,M,21,NSW,08:57:20,72.12,80005b72314045ff9b7d48b6f2b63615,CUS-537508723,debit,8,2,8,Purchase
posted,n/a,ACC-354106658,151.04 -33.80,INTER BANK,Christine,4474.38,2018-08-01,F,39,n/a,09:00:00,25.0,f8cbe52460864f5fa77728f4a9e08997,CUS-2376382098,debit,8,2,9,Others
posted,n/a,ACC-1443681913,150.92 -33.77,PAYMENT,Ryan,586.2,2018-08-01,M,31,n/a,09:00:00,36.0,2addbcee343d4406bfd5f17fb8d40dee,CUS-3129499595,debit,8,2,9,Others
authorized,1.0,ACC-1710017148,150.82 -34.01,SALES-POS,Michelle,1636.91,2018-08-01,F,19,NSW,09:02:54,17.96,455044b17a8648a2945d7c39e8274351,CUS-883482547,debit,8,2,9,Purchase
authorized,1.0,ACC-2673069055,152.99 -27.49,SALES-POS,Richard,11525.54,2018-08-01,M,24,QLD,09:06:57,14.49,221c4f7dd53240a18ceab43e1b879a62,CUS-51506836,debit,8,2,9,Purchase
authorized,0.0,ACC-1710017148,150.82 -34.01,SALES-POS,Michelle,1625.34,2018-08-01,F,19,NSW,09:11:00,11.57,82acf03790844776b4587fd6e6f526c5,CUS-883482547,debit,8,2,9,Purchase
authorized,1.0,ACC-1037050564,153.10 -27.66,POS,Rhonda,2072.1,2018-08-01,F,40,QLD,09:15:03,45.12,ad101b96b9d44b968b2519e2bb26a649,CUS-1614226872,debit,8,2,9,Purchase
authorized,0.0,ACC-3485804958,138.52 -35.01,POS,Jessica,12529.59,2018-08-01,F,34,SA,09:19:06,33.89,89050ee5c5aa4e79b03e717518236bf9,CUS-1196156254,debit,8,2,9,Purchase
authorized,1.0,ACC-4258502723,145.45 -37.74,SALES-POS,Kimberly,698.61,2018-08-01,F,24,VIC,09:23:09,9.67,d79653456df54a20a564af7069156f60,CUS-3378712515,debit,8,2,9,Purchase
authorized,1.0,ACC-3100725361,145.73 -17.03,POS,Ronald,2086.31,2018-08-01,M,25,QLD,09:27:12,4.38,7c855689bafb457084fbe8e42824a36e,CUS-2178051368,debit,8,2,9,Purchase
authorized,1.0,ACC-1990648130,114.62 -28.80,POS,Kaitlyn,1689.89,2018-08-01,F,21,NSW,09:39:21,28.49,4c299aa143c94a03bee6fba9db884567,CUS-809013380,debit,8,2,9,Purchase
authorized,1.0,ACC-1990648130,114.62 -28.80,POS,Kaitlyn,1675.46,2018-08-01,F,21,WA,09:43:24,14.43,e25a2c80035844a4846625adb43d893a,CUS-809013380,debit,8,2,9,Purchase
authorized,1.0,ACC-2673069055,152.99 -27.49,SALES-POS,Richard,11438.51,2018-08-01,M,24,QLD,09:47:26,87.03,e06884699c114da592c8dcde6d30cab3,CUS-51506836,debit,8,2,9,Purchase
authorized,1.0,ACC-154431271,153.09 -27.48,POS,Lori,38.42,2018-08-01,F,18,QLD,09:51:29,36.28,bad454ebe43940e2aaa0e8a013f49a91,CUS-3702001629,debit,8,2,9,Purchase
authorized,0.0,ACC-3689607373,115.79 -31.79,POS,Virginia,1089.59,2018-08-01,F,20,WA,09:55:32,15.91,303ab7bca5764bb3863758b3142b74bb,CUS-127297539,debit,8,2,9,Purchase
authorized,1.0,ACC-721712940,145.09 -37.82,POS,Andrew,49756.21,2018-08-01,M,78,VIC,09:59:35,25.7,431119a28af748cbb12920804a7fcda3,CUS-1646183815,debit,8,2,9,Purchase
posted,n/a,ACC-1037050564,153.10 -27.66,PAYMENT,Rhonda,2040.1,2018-08-01,F,40,n/a,10:00:00,32.0,94622881419c44e1b799a52d82572207,CUS-1614226872,debit,8,2,10,Others
posted,n/a,ACC-1799207998,150.68 -33.79,INTER BANK,Susan,137.14,2018-08-01,F,20,n/a,10:00:00,39.0,b5974280c54a4547969f6de6860022d7,CUS-164374203,debit,8,2,10,Others
posted,n/a,ACC-2107684084,145.03 -37.88,PAYMENT,Richard,292.77,2018-08-01,M,22,n/a,10:00:00,34.0,60f8a3a91b974bd783af46c24bf7dc94,CUS-2283904812,debit,8,2,10,Others
posted,n/a,ACC-2173390920,144.71 -37.58,PAYMENT,Luis,28.04,2018-08-01,M,27,n/a,10:00:00,29.0,2bf5dc421b144a6d9f80c71d9750bbb9,CUS-3180318393,debit,8,2,10,Others
posted,n/a,ACC-1243371644,150.90 -33.78,PAYMENT,Gregory,754.2,2018-08-01,M,42,n/a,10:00:00,150.0,f0f8a22361d54153a8ff90da73e5e351,CUS-3904958894,debit,8,2,10,Others
posted,n/a,ACC-966140392,147.08 -37.97,PAYMENT,Joseph,763.64,2018-08-01,M,21,n/a,10:00:00,30.0,6d12e9e1c9fe4f899b04c2e1f40fb790,CUS-537508723,debit,8,2,10,Others
authorized,1.0,ACC-1683215619,138.67 -34.86,SALES-POS,Barry,301.65,2018-08-01,M,38,NSW,10:12:51,20.43,06df75936c564067b220a0660ad8b455,CUS-1604596597,debit,8,2,10,Purchase
authorized,0.0,ACC-2901672282,255.00 -573.00,SALES-POS,Daniel,1290.08,2018-08-01,M,22,NSW,10:27:08,31.62,826f09d26daf4b7282f597cabfecaf81,CUS-1617121891,debit,8,2,10,Purchase
authorized,1.0,ACC-1652235822,144.89 -37.81,SALES-POS,Renee,18784.07,2018-08-01,F,38,VIC,10:41:25,16.13,0a0aaf7ca4894fbeb41e69a695458fa1,CUS-2206365095,debit,8,2,10,Purchase
authorized,1.0,ACC-2615038700,145.35 -38.03,POS,Emily,29645.42,2018-08-01,F,43,VIC,10:55:42,937.73,44806f4994f249e9a7411776530e0ff6,CUS-3255104878,debit,8,2,10,Purchase
posted,n/a,ACC-588564840,151.27 -33.76,PAY/SALARY,Isaiah,8342.11,2018-08-01,M,23,n/a,11:00:00,3903.95,9ca281650e5d482d9e53f85e959baa66,CUS-1462656821,credit,8,2,11,Salary
posted,n/a,ACC-2901672282,255.00 -573.00,PAYMENT,Daniel,1195.08,2018-08-01,M,22,n/a,11:00:00,95.0,62e49c215d7e45609556936fd7e860ce,CUS-1617121891,debit,8,2,11,Others
authorized,1.0,ACC-602667573,151.23 -33.96,POS,Michael,454.94,2018-08-01,M,40,WA,11:04:45,11.64,f43f13d2a2d64627bd7849e55076d5ad,CUS-2031327464,debit,8,2,11,Purchase
authorized,1.0,ACC-414431115,142.77 -37.06,POS,Amy,27.86,2018-08-01,F,43,VIC,11:11:33,28.0,3f549647f8c64c35a471c57296fa3ee3,CUS-2599279756,debit,8,2,11,Purchase
authorized,1.0,ACC-1243371644,150.90 -33.78,POS,Gregory,689.22,2018-08-01,M,42,NSW,11:18:22,64.98,7439e4de7ee64643bae56d82cf6d60ec,CUS-3904958894,debit,8,2,11,Purchase
authorized,1.0,ACC-602667573,151.23 -33.96,SALES-POS,Michael,440.66,2018-08-01,M,40,NSW,11:25:10,14.28,18a79fa1895146598803550daf9b8f5d,CUS-2031327464,debit,8,2,11,Purchase
authorized,1.0,ACC-2615038700,145.35 -38.03,SALES-POS,Emily,29143.75,2018-08-01,F,43,QLD,11:31:58,501.67,3972bef449b54d3b9db6bc77e1c8d165,CUS-3255104878,debit,8,2,11,Purchase
authorized,1.0,ACC-1334819143,145.13 -37.70,POS,Christopher,58154.74,2018-08-01,M,33,VIC,11:38:46,17.97,de0afdbea75448bab771d107c3d9634a,CUS-3117610635,debit,8,2,11,Purchase
authorized,0.0,ACC-4258502723,145.45 -37.74,POS,Kimberly,589.1,2018-08-01,F,24,NSW,11:45:34,109.51,fcb9829f70104a338b34cee4eb6cc9c8,CUS-3378712515,debit,8,2,11,Purchase
authorized,0.0,ACC-3100725361,145.73 -17.03,POS,Ronald,2058.92,2018-08-01,M,25,VIC,11:52:22,27.39,646333af54b7418db2ffddf4466e027d,CUS-2178051368,debit,8,2,11,Purchase
authorized,1.0,ACC-3541460373,145.00 -37.83,POS,Jeffrey,1109.58,2018-08-01,M,24,VIC,11:59:11,27.39,a4c5dbf8884f40efb7d37ee62c121da5,CUS-1433879684,debit,8,2,11,Purchase
posted,n/a,ACC-1650504218,145.01 -37.93,PAY/SALARY,Marissa,2040.58,2018-08-01,F,23,n/a,12:00:00,1626.48,1822eb0e1bbe4c9e95ebbb0fa2cc4323,CUS-2500783281,credit,8,2,12,Salary
posted,n/a,ACC-4163822186,149.03 -34.97,PAYMENT,Karen,3071.94,2018-08-01,F,26,n/a,12:00:00,46.0,f9517b2856424dee847566e333c1da49,CUS-2630892467,debit,8,2,12,Others
posted,n/a,ACC-182446574,116.06 -32.00,INTER BANK,Tonya,150.08,2018-08-01,F,27,n/a,12:00:00,57.0,f14720cc84d24bac8b9987a127c07842,CUS-3026014945,debit,8,2,12,Others
posted,n/a,ACC-3326339947,151.18 -33.80,PAY/SALARY,Eric,3158.51,2018-08-01,M,22,n/a,12:00:00,983.36,bd62b1799a454cedbbb56364f7c40cbf,CUS-326006476,credit,8,2,12,Salary
posted,n/a,ACC-3879258709,143.83 -37.66,PAYMENT,Natasha,186371.86,2018-08-01,F,40,n/a,12:00:00,170.0,d644e56e0d2e4288beb67ec2c5e66346,CUS-527400765,debit,8,2,12,Others
authorized,1.0,ACC-2249586092,115.98 -32.07,POS,Edward,4172.16,2018-08-01,M,19,SA,12:15:26,3.28,519228444b164ae2b61bc1e2bca47283,CUS-443776336,debit,8,2,12,Purchase
authorized,1.0,ACC-3827517394,151.12 -33.89,POS,Craig,30163.44,2018-08-01,M,28,NSW,12:50:31,33.45,bdcb34e0a5d9423089deb9a6e85e32a5,CUS-2663907001,debit,8,2,12,Purchase
posted,n/a,ACC-3541460373,145.00 -37.83,PAY/SALARY,Jeffrey,2517.66,2018-08-01,M,24,n/a,13:00:00,1408.08,0d95c7c932bb48e5b44c2637bdd3efe9,CUS-1433879684,credit,8,2,13,Salary
posted,n/a,ACC-3100725361,145.73 -17.03,INTER BANK,Ronald,2032.92,2018-08-01,M,25,n/a,13:00:00,26.0,77254bed4aed4a66b6870c77297cef71,CUS-2178051368,debit,8,2,13,Others
posted,n/a,ACC-2776252858,144.95 -37.76,PAY/SALARY,Kristin,2271.79,2018-08-01,F,43,n/a,13:00:00,1068.04,f50ccf1195214d14a0acbfcb5a265193,CUS-4123612273,credit,8,2,13,Salary
authorized,0.0,ACC-2615038700,145.35 -38.03,POS,Emily,29128.11,2018-08-01,F,43,VIC,13:45:33,15.64,74c7d8e7a52c411ca0457469d55d5a92,CUS-3255104878,debit,8,2,13,Purchase
posted,n/a,ACC-1598451071,153.41 -27.95,PAY/SALARY,Diana,1017.52,2018-08-01,F,26,n/a,14:00:00,1013.67,a72c9dd8b4614a1982ff71f8b62677ad,CUS-2487424745,credit,8,2,14,Salary
authorized,1.0,ACC-1799207998,150.68 -33.79,POS,Susan,119.88,2018-08-01,F,20,NSW,14:01:55,17.26,5af4f4be8c7344ddbb0e36b48b29d024,CUS-164374203,debit,8,2,14,Purchase
authorized,0.0,ACC-4258502723,145.45 -37.74,SALES-POS,Kimberly,538.85,2018-08-01,F,24,VIC,14:10:42,50.25,ce39f465e532476da3322a54ed8b4c7c,CUS-3378712515,debit,8,2,14,Purchase
